"N","Response","Alpha","Omega"
10,"acquiescent",0.810588227111979,0.7281694013609
10,"consistent",0.79856313567404,0.723613222139021
10,"extreme",0.787145357623572,0.709162845185533
10,"inconsistent",0.576449264929702,0.531766074162028
30,"acquiescent",0.846108277266805,0.858306048874037
30,"consistent",0.843777095508422,0.855247543933058
30,"extreme",0.835642876864279,0.849740976119373
30,"inconsistent",0.659437179982034,0.698334197731591
50,"acquiescent",0.858894213453715,0.86503887633067
50,"consistent",0.849082430342497,0.855726421874606
50,"extreme",0.847742831586597,0.854280403983725
50,"inconsistent",0.676738165616971,0.704950269958516
100,"acquiescent",0.864968465949489,0.868296458121769
100,"consistent",0.854837747611607,0.858860602419972
100,"extreme",0.857032040414249,0.861098303752862
100,"inconsistent",0.692618523562074,0.706981095214109
200,"acquiescent",0.866626327238129,0.868587799031556
200,"consistent",0.857275048981111,0.859704359251115
200,"extreme",0.857553710549875,0.859785832239206
200,"inconsistent",0.698442684910285,0.7055287571022
300,"acquiescent",0.868677869026064,0.870151782661065
300,"consistent",0.862163004743744,0.863782723407479
300,"extreme",0.860143690951696,0.861884775068545
300,"inconsistent",0.702035309121673,0.7062647753721
400,"acquiescent",0.870302695053417,0.871635721824089
400,"consistent",0.862928137555752,0.864392600216048
400,"extreme",0.862978556369879,0.86447329442343
400,"inconsistent",0.697757368564942,0.700751335230715
500,"acquiescent",0.868899636465387,0.870000417229796
500,"consistent",0.86575507043515,0.867073543932308
500,"extreme",0.861945103313943,0.863317653147435
500,"inconsistent",0.698889012495856,0.701601333297464
800,"acquiescent",0.870514343456203,0.871540331444794
800,"consistent",0.864920312997363,0.866163684012975
800,"extreme",0.863245535981893,0.864546447559895
800,"inconsistent",0.699745563224081,0.701424921441479
1000,"acquiescent",0.871650138986791,0.872708116389932
1000,"consistent",0.860660088097747,0.861689742237513
1000,"extreme",0.861411582969269,0.862570379551956
1000,"inconsistent",0.706381278975215,0.707780144721906
2000,"acquiescent",0.872514188507495,0.873410426335247
2000,"consistent",0.865359023660664,0.866382524115106
2000,"extreme",0.863629204869979,0.864625790568706
2000,"inconsistent",0.706358447998857,0.707455783428857
3000,"acquiescent",0.873540566871604,0.874383262070086
3000,"consistent",0.865514847944276,0.866489816862701
3000,"extreme",0.861961447892852,0.862884334619634
3000,"inconsistent",0.705375640124297,0.706207382650507
4000,"acquiescent",0.873542068831085,0.874340491495903
4000,"consistent",0.864629931565787,0.865563695928215
4000,"extreme",0.86283058187524,0.863840991095229
4000,"inconsistent",0.707625663876539,0.708417208998566
5000,"acquiescent",0.873612939192042,0.874474928643911
5000,"consistent",0.865858963431484,0.866743314919814
5000,"extreme",0.865590987353683,0.866533289508485
5000,"inconsistent",0.704340762836919,0.705145242624664
